pLLA;pUP;USDT;MERVAL;actividad;prediccion
-0.010465434;0.006733383;0.001005561;-0.021938375;VERDADERO;VERDADERO
-0.010723865;0;-0.000358862;0.002339115;VERDADERO;VERDADERO
-0.007299239;0.050409503;0.001004067;0.012712117;VERDADERO;VERDADERO
-0.030489322;0.034304231;0.000429605;0.006163417;VERDADERO;
0;-0.005532489;0.002853222;;FALSO;
0.003930294;-0.005603878;0.001171515;;FALSO;FALSO
0;0;0.004724855;-0.024932319;VERDADERO;VERDADERO
0;0;-0.001616177;0.02572092;VERDADERO;VERDADERO
0;0;-0.001692883;0.001785815;VERDADERO;VERDADERO
-0.206473888;0.185391282;-7.07E-05;0.001559853;VERDADERO;FALSO
0.085430195;-0.038458252;0.001763563;-0.008312129;VERDADERO;
0.00513964;-0.004039978;-0.001304347;;FALSO;
-0.084320886;0.046163184;-0.000211885;;FALSO;FALSO
-0.11270428;0.067467839;-0.00017665;-0.002972942;VERDADERO;FALSO
0.052936075;-0.029071448;0.000670889;-0.012285144;VERDADERO;FALSO
0.027583522;0.003327943;0.000105835;-0.001498234;VERDADERO;FALSO
-0.013572807;0;0.000141073;-0.015819744;VERDADERO;VERDADERO
0.006839425;0;0.001478511;0.002397558;VERDADERO;
-0.172711518;0.05299042;0.0006672;;FALSO;
0.065501549;-0.008893713;0.001331333;;FALSO;
0.139879086;-0.075008172;-0.001155924;;FALSO;
0.030382629;-0.00357446;-0.00203911;;FALSO;VERDADERO
-0.017973371;0;0.002564912;0.016278734;VERDADERO;FALSO
0.012064511;0.00357446;0.000560154;-0.003784432;VERDADERO;FALSO
0;-0.010812869;-0.001331548;-0.001512401;VERDADERO;
0;0;-0.000175508;;FALSO;
0.095718532;-0.062709737;0.000701607;;FALSO;FALSO
0;0;7.01E-05;-0.024368565;VERDADERO;VERDADERO
-0.034762106;-0.008515851;0.000140163;0.004173591;VERDADERO;VERDADERO
-0.098204483;0.008515851;0.000770088;0.022234192;VERDADERO;FALSO
0.071552289;0.047860616;0.000908347;-0.007858138;VERDADERO;VERDADERO
0.010857928;-0.015374862;0.003510663;0.019664559;VERDADERO;
0;0.007755465;-0.000138498;;FALSO;
-0.010857928;-0.007755465;0.000761192;;FALSO;VERDADERO
0.031791834;-0.015939201;0.004710361;0.001990787;VERDADERO;FALSO
0.010100327;0;0.014163215;-0.010826431;VERDADERO;VERDADERO
-0.02044116;0.012008907;-0.006368411;0.019208494;VERDADERO;FALSO
0.010340833;-0.003966187;0.002945742;-0.005563408;VERDADERO;VERDADERO
0;-0.024589273;0.002428556;0.013034963;VERDADERO;
-0.00513964;0.024589273;0.001820805;;FALSO;
0.00513964;-0.020393159;-0.000231315;;FALSO;
0;0.012350438;0.000462507;;FALSO;VERDADERO
0;-0.004077912;-0.001488387;0.009556294;VERDADERO;FALSO
0.010100327;-0.038534131;0.001323263;-0.008410652;VERDADERO;FALSO
0;0.01754964;-0.000958963;-0.004991841;VERDADERO;FALSO
0;0;0.005362744;-0.006077365;VERDADERO;
0;0;-0.003908595;;FALSO;
0;0.004278798;0.00381049;;FALSO;FALSO
0.00496342;0.004237053;0.000522971;-0.007328817;VERDADERO;VERDADERO
0.004907334;0;-0.001210327;0.003287314;VERDADERO;
0.009651386;0;0.001373626;;FALSO;FALSO
0;0;-0.00068627;-0.015165974;VERDADERO;FALSO
0;0;0.002250827;-0.03327444;VERDADERO;
0;0;0.003209207;;FALSO;
0;0;0.001579665;;FALSO;FALSO
