"Date (UTC)","Timestamp (UTC)","LLA (La Libertad Avanza)","PRO (Propuesta Republicana)","UP (Unión por la Patria)","FIT-U (Frente de Izquierda y de los Trabajadores – Unidad)","SER (SER Santa Cruz)","UCR (Unión Cívica Radical)","HNP (Hacemos por Nuestro País)"
"02-07-2025 00:00","1738886404","0.715","0.0365","0.23","0.0175","0.0255","0.02","0.018"
"02-08-2025 00:00","1738972804","0.755","0.0165","0.23","0.008","0.003","0.0085","0.008"
"02-09-2025 00:00","1739059206","0.72","0.0215","0.225","0.0145","0.02","0.0175","0.013"
"02-10-2025 00:00","1739145605","0.715","0.019","0.225","0.016","0.02","0.0175","0.012"
"02-11-2025 00:00","1739232004","0.725","0.0165","0.225","0.0075","0.0185","0.009","0.0105"
"02-12-2025 00:00","1739318404","0.725","0.014","0.21","0.0085","0.017","0.0095","0.009"
"02-13-2025 00:00","1739404804","0.73","0.014","0.21","0.0085","0.0165","0.01","0.009"
"02-14-2025 00:00","1739491205","0.73","0.014","0.21","0.008","0.0155","0.01","0.009"
"02-15-2025 00:00","1739577604","0.735","0.0135","0.205","0.008","0.016","0.01","0.009"
"02-16-2025 00:00","1739664004","0.735","0.0135","0.2","0.0085","0.0155","0.01","0.009"
"02-17-2025 00:00","1739750404","0.735","0.013","0.195","0.009","0.0155","0.01","0.0105"
"02-18-2025 00:00","1739836804","0.745","0.0125","0.195","0.008","0.0155","0.0095","0.008"
"02-19-2025 00:00","1739923204","0.75","0.0125","0.2","0.008","0.015","0.0095","0.009"
"02-20-2025 00:00","1740009604","0.725","0.013","0.195","0.008","0.0155","0.015","0.009"
"02-21-2025 00:00","1740096005","0.655","0.0125","0.27","0.008","0.0145","0.0185","0.0095"
"02-22-2025 00:00","1740182405","0.7","0.0125","0.25","0.008","0.015","0.023","0.009"
"02-23-2025 00:00","1740268804","0.665","0.0125","0.27","0.008","0.015","0.023","0.0095"
"02-24-2025 00:00","1740355204","0.665","0.013","0.265","0.0145","0.0155","0.02","0.0095"
"02-25-2025 00:00","1740441604","0.71","0.0125","0.22","0.0145","0.015","0.02","0.0095"
"02-26-2025 00:00","1740528005","0.715","0.0125","0.225","0.015","0.013","0.019","0.0095"
"02-27-2025 00:00","1740614405","0.73","0.0105","0.205","0.0135","0.012","0.007","0.0105"
"02-28-2025 00:00","1740700805","0.745","0.0095","0.205","0.013","0.0095","0.013","0.0085"
"03-01-2025 00:00","1740787205","0.715","0.0085","0.205","0.013","0.008","0.0135","0.007"
"03-02-2025 00:00","1740873605","0.685","0.0085","0.205","0.013","0.0075","0.0135","0.007"
"03-03-2025 00:00","1740960005","0.71","0.0095","0.205","0.0125","0.007","0.0135","0.007"
"03-04-2025 00:00","1741046405","0.8","0.0085","0.165","0.01","0.0075","0.012","0.0065"
"03-05-2025 00:00","1741132804","0.775","0.008","0.135","0.01","0.0075","0.01","0.008"
"03-06-2025 00:00","1741219205","0.81","0.007","0.135","0.01","0.007","0.0065","0.0055"
"03-07-2025 00:00","1741305605","0.805","0.008","0.145","0.01","0.0075","0.0065","0.0065"
"03-08-2025 00:00","1741392005","0.775","0.007","0.135","0.01","0.0075","0.0065","0.006"
"03-09-2025 00:00","1741478405","0.75","0.0075","0.155","0.01","0.0075","0.0065","0.0065"
"03-10-2025 00:00","1741564804","0.755","0.006","0.155","0.01","0.007","0.0065","0.006"
"03-11-2025 00:00","1741651205","0.75","0.0115","0.155","0.01","0.006","0.0065","0.0095"
"03-12-2025 00:00","1741737605","0.765","0.0085","0.145","0.0115","0.006","0.0065","0.0065"
"03-13-2025 00:00","1741824006","0.78","0.007","0.145","0.0115","0.007","0.006","0.006"
"03-14-2025 00:00","1741910405","0.775","0.0045","0.145","0.0115","0.005","0.006","0.006"
"03-15-2025 00:00","1741996804","0.775","0.0055","0.145","0.0115","0.0055","0.0055","0.0055"
"03-16-2025 00:00","1742083204","0.765","0.0055","0.145","0.0115","0.007","0.0065","0.009"
"03-17-2025 00:00","1742169604","0.765","0.0055","0.145","0.0115","0.0075","0.0065","0.0125"
"03-18-2025 00:00","1742256005","0.765","0.0055","0.145","0.0115","0.0065","0.0065","0.0095"
"03-19-2025 00:00","1742342405","0.765","0.0055","0.145","0.0115","0.0075","0.006","0.008"
"03-20-2025 00:00","1742428805","0.765","0.0055","0.145","0.0115","0.0075","0.006","0.008"
"03-21-2025 00:00","1742515205","0.755","0.0055","0.145","0.0115","0.0075","0.0065","0.007"
"03-22-2025 00:00","1742601606","0.755","0.0055","0.145","0.0115","0.0075","0.007","0.005"
"03-23-2025 00:00","1742688006","0.755","0.0055","0.145","0.0115","0.0105","0.0075","0.005"
"03-24-2025 00:00","1742774405","0.755","0.007","0.145","0.0115","0.0115","0.0085","0.0065"
"03-25-2025 00:00","1742860806","0.755","0.0075","0.145","0.012","0.0095","0.0085","0.0065"
"03-26-2025 00:00","1742947205","0.755","0.0075","0.145","0.012","0.01","0.0085","0.0065"
"03-27-2025 00:00","1743033606","0.755","0.007","0.145","0.012","0.0085","0.008","0.006"
"03-28-2025 00:00","1743120006","0.755","0.008","0.145","0.012","0.009","0.008","0.006"
"03-29-2025 00:00","1743206406","0.755","0.0075","0.145","0.012","0.0085","0.0085","0.0075"
"03-30-2025 00:00","1743292806","0.755","0.0075","0.145","0.012","0.0085","0.0085","0.0085"
"03-31-2025 00:00","1743379205","0.745","0.0055","0.145","0.012","0.009","0.009","0.01"
"04-01-2025 00:00","1743465605","0.745","0.0055","0.145","0.012","0.0085","0.0075","0.01"
"04-02-2025 00:00","1743552006","0.745","0.0085","0.145","0.012","0.0105","0.0075","0.0075"
"04-03-2025 00:00","1743638405","0.745","0.0085","0.15","0.012","0.009","0.0075","0.0065"
"04-04-2025 00:00","1743724805","0.745","0.0085","0.145","0.012","0.0105","0.0075","0.0095"
"04-05-2025 00:00","1743811205","0.755","0.0095","0.145","0.0115","0.01","0.01","0.011"
"04-06-2025 00:00","1743897605","0.76","0.0095","0.155","0.0115","0.01","0.011","0.0105"
"04-07-2025 00:00","1743984006","0.76","0.0085","0.155","0.0115","0.011","0.011","0.011"
"04-08-2025 00:00","1744070406","0.76","0.007","0.145","0.0115","0.011","0.012","0.011"
"04-09-2025 00:00","1744156806","0.76","0.007","0.155","0.0115","0.0105","0.0105","0.011"
"04-10-2025 00:00","1744243205","0.745","0.007","0.155","0.0115","0.0105","0.0105","0.0105"
"04-11-2025 00:00","1744329605","0.745","0.007","0.155","0.0115","0.0105","0.0115","0.011"
"04-12-2025 00:00","1744416006","0.755","0.007","0.155","0.0115","0.0105","0.012","0.0115"
"04-13-2025 00:00","1744502405","0.75","0.007","0.16","0.0115","0.007","0.007","0.011"
"04-14-2025 00:00","1744588805","0.755","0.007","0.16","0.0115","0.0085","0.007","0.015"
