fold,start_idx,test_size,n_positive,n_negative,balance_ratio,is_balanced
1,100,5,2,3,0.4,True
2,105,5,3,2,0.6,True
3,110,5,4,1,0.8,False
4,115,5,2,3,0.4,True
5,120,5,3,2,0.6,True
6,125,5,5,0,1.0,False
7,130,5,4,1,0.8,False
8,135,5,2,3,0.4,True
9,140,5,2,3,0.4,True
10,145,5,3,2,0.6,True
11,150,5,2,3,0.4,True
12,155,5,2,3,0.4,True
13,160,5,1,4,0.2,False
14,165,5,3,2,0.6,True
15,170,5,3,2,0.6,True
16,175,5,2,3,0.4,True
17,180,5,4,1,0.8,False
18,185,5,4,1,0.8,False
19,190,5,4,1,0.8,False
20,195,5,1,4,0.2,False
21,200,5,4,1,0.8,False
