number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_hidden_size,params_lr,params_n_epochs,params_num_layers,params_seq_len,state
0,0.0,2025-11-24 22:17:12.069292,2025-11-24 22:19:25.088923,0 days 00:02:13.019631,32,True,0.3429789855453941,60,0.0003849295412527523,200,1.0,63,COMPLETE
1,0.5448773448773448,2025-11-24 22:17:14.017656,2025-11-24 22:21:19.812369,0 days 00:04:05.794713,16,True,0.258732836047799,52,0.009154047079497848,200,1.0,35,COMPLETE
2,0.5518136249715196,2025-11-24 22:17:17.898549,2025-11-24 22:18:06.175172,0 days 00:00:48.276623,48,False,0.10042357333400997,52,0.0014311929820341482,100,2.0,21,COMPLETE
3,0.4244614512471655,2025-11-24 22:18:06.237650,2025-11-24 22:19:56.410749,0 days 00:01:50.173099,32,False,0.17272309377055706,96,0.003463919904821047,200,1.0,42,COMPLETE
4,0.0,2025-11-24 22:19:25.137487,2025-11-24 22:23:05.455053,0 days 00:03:40.317566,16,False,0.31765674842083835,44,0.002231196339327231,200,1.0,63,COMPLETE
5,0.5027375307987552,2025-11-24 22:19:56.438940,2025-11-24 22:21:22.269286,0 days 00:01:25.830346,48,True,0.10039614524060735,12,0.001440850162227722,150,2.0,28,COMPLETE
6,0.4936230935005444,2025-11-24 22:21:19.853050,2025-11-24 22:21:37.870487,0 days 00:00:18.017437,48,False,0.25081889434779253,4,0.0003851979264969023,50,1.0,7,PRUNED
7,0.48920315099244865,2025-11-24 22:21:22.300494,2025-11-24 22:22:56.251522,0 days 00:01:33.951028,48,True,0.46126396975280526,52,0.0043919498106163215,150,1.0,14,PRUNED
8,0.5294372294372295,2025-11-24 22:21:37.897107,2025-11-24 22:25:42.661825,0 days 00:04:04.764718,16,False,0.48421015322689853,92,0.0015824829680029086,200,1.0,35,COMPLETE
9,0.4833333333333334,2025-11-24 22:22:56.299093,2025-11-24 22:25:23.318394,0 days 00:02:27.019301,16,True,0.2511890918431308,24,0.0029756215035924767,100,2.0,35,PRUNED
